internship_id,title,company,location,description,skills,domain,job_type,source
485,Seasonal Assistant General Manager,,,"client , luxury restaurant , hire seasonal assistant general manager join team long island . seasonal position begin end labor day potential extend base performance need business . candidate willing able visit restaurant location hampton . candidate able work - time restaurant schedule include holiday , weekend , night , etc . need . job duty include : assist general manager daily operational taskscreate staff schedulesmanage communication foh bohmanage place order inventory neededassist inventory count managementprovide excellent customer service prioritize guest experience job qualification include:5 + year luxury restaurant experienceexperience supervise foh teamstrong write verbal communicationimpeccable attention detailwillingness hand assist floor neededteam leader excellent interpersonal skillsexperience understanding work international company understanding elevated / european serviceability stand long duration time need salary : $ 38 - $ 41 / hr pcg appreciate applicant , qualified contact . thank application . look forward hear ! believe great candidate position , salary list meet expectation , love speak ! ? pcg , good faith , believe post range compensation accurate range role location time posting . pcg client ultimately pay post range depend candidate qualification . range modify future . pyramid consulting group , llc equal opportunity employer take pride diverse environment . discriminate recruitment , hiring , training , promotion , employment practice reason race , color , religion , gender , sexual orientation , national origin , age , marital veteran status , medical condition disability , legally protect status . refer website : www.pyramidcg.com access right work e - verify participation poster .","management, communication","business, legal",job,Kaggle
486,"Case Manager II, Resource Specialist II (Overnight)",,,"overview commitment equity y actively promote culture free bias injustice . dedicate remove institutional systemic barrier result oppression racism . accountable marginalize community create equitable sustainable environment social justice weave facet program , care community culturally versatile respectful manner . job summary support low - income youth young adult experience foster care , homelessness , disconnection school , juvenile justice and/or system develop skill live independently . provide specialized support youth young adult education , job readiness / employment , housing , designate field . develop strong collaborative community relationship provide extensive information referral service . create welcoming supportive environment ymca . position social impact center y , social service branch ymca great seattle ( ygs ) . mission social impact center y accelerate young people ability build safe , successful , happy life . year , serve 5,000 child , youth , young adult , family king county program aim strengthen young people ability develop full potential strategy : reduce risk factor ; navigate system successful life transition ; ensure stability , safety wellness time crisis ; building competency social capital . social impact center y program include housing , behavioral health , foster care licensing , violence prevention , education , employment . young people serve involvement foster care , criminal justice system , and/or homelessness system . work y individual membership ymca great seattle free access mental health resource rapidly accrue pay time ( pto ) hire range : $ 24.00 – $ 26.40 / hr responsibility provide specialized service youth young adult education , employment / career development , housing , technology , designate field support achieve goal . build strong relationship y program participant effectively provide quality service . develop individualized , strength - base , youth - drive service plan . understand contract / grant term condition ensure program outcome requirement meet service render young adult appropriately . research good practice field ; create maintain specialized resource library . maintain clear , professional , timely participant contact note , service plan , progress update , outcome , documentation designate database . teach life skill , job readiness subject matter individually and/or group , experientially . team effectively collaboratively ymca staff and/or community partner plan facilitate activity , include visit related resource community . build maintain collaborative relationship funding liaison , service provider , business and/or educational institution relate specialized service . support participant success key domain safe stable housing , permanent connection supportive adult , education employment , health - , life skill . supervise volunteer , intern national service member ( americorps , etc . ) . assist program coordination activity relate job focus . participate ymca annual fundraising campaign engage community member volunteerism philanthropic support y mission . code conduct applicant qualification bachelor degree psychology , social work related field equivalent experience , master prefer . applicable education , training , experience , provide knowledge , ability , skill necessary perform effectively position consider . minimum year experience work teen young adult employment , foster care , group care , housing , education , juvenile justice , anti - poverty , vocational support , mental health , chemical dependency and/or homelessness field . ability teach effective independence skill variety learn style plan supportive activity . strong youth engagement relationship - building skill . strong verbal write communication skill . basic computer skill work knowledge microsoft office . ability transport self client(s ) safe effective manner , meet client community location ; proof adequate vehicle insurance coverage require , ability travel area public transportation . current state approve aid cpr certification . * current approve hiv blood borne pathogen training . * prefer knowledge previous experience , diverse population ( language , culture , race , physical ability , sexual orientation , etc . ) . ability speak language addition english helpful . 30 day employment available training . great fit seattle y : thrive work collaborative environment adaptable high ownership strong work ethic great problem solver think foot truly enjoy service people like team care people enjoy work want know work contribute build well , strong community seattle y , inclusive organization people share commitment nurture potential youth , promote healthy living , foster social responsibility . believe support wellbeing employee offer free y membership benefit employment . leader team ymca great seattle promote continuous learn environment career opportunity . "" ygs equal opportunity employer commit create diverse equitable work environment . qualified applicant receive consideration regard race , color , religion , sex , sexual orientation , gender identity , national origin , disability , status protect veteran , status protect local , state , federal law . drug & alcohol - free workplace ; job offer contingent result background check ( applicable job ) drug screening , include screen marijuana . participate federal e - verify system . need assistance kind application process , reach recruiting@seattleymca.org hr department 206.382.5082 . "" support , funding , financing , labor resource , mission statement : build community people , especially young , encourage develop full potential spirit , mind , body . value : respect responsibility honesty care passion excellence","design, development, communication","tech, education",job,Kaggle
487,Business Analyst,,,"immediate need talented business analyst . 06 + month contract opportunity long - term potential locate wilmington , md ( hybrid ) . review job description contact asap interested . job id:24 - 18240 pay range : $ 60 - $ 65 / hour . employee benefit include , limit , health insurance ( medical , dental , vision ) , 401(k ) plan , pay sick leave ( depend work location ) . key responsibility : candidate able work onsite minimum 60%.the business analyst responsible understand business need analyse , validate document business system requirement identify need good addressed.design process change process implement business transformation solution complete research fact - finding combine basic understanding applicable business process , system , industry requirements.adhere establish process requirement management methodology practice ( use case modelling process , ispmm).this includes meeting establish client quality compliance standards.analyze current business process , workflow procedure identify area improvement.develope implement optimize process procedure enhance efficiency , productivity customer satisfaction.collaborate stakeholder design execute process improvement initiative align project goals.conduct thorough data analysis process mapping identify obstacle , inefficiency opportunity improvement.collaborate cross - functional team implement process change , ensure smooth transition minimal disruption operations.communicate project team project sponsor ensure alignment propose changes.create process documentation guideline , include standard operating procedure workflow diagrams.provide training support team member new process good practice . key requirement technology experience : bachelor degree.3 - 5 + year experience business process analysis project management.self-starter.experience work pharmaceutical company preferred.can work independently.familiarity process mapping model techniques.strong analytical skill ability collect , study interpret complex data.ability manage perform multiple complex task daily work assignment.proficiency microsoft office suite , include excel , powerpoint visio.strong communication presentation skill effectively communicate process change recommendation stakeholder level.must sense urgency , confidence , ability work multiple team cross - collaboratively . client lead biopharmaceutical industry , currently interview fill similar contract position . interested position , apply online immediate consideration . pyramid consulting , inc . provide equal employment opportunity employee applicant employment prohibit discrimination harassment type regard race , color , religion , age , sex , national origin , disability status , genetic , protect veteran status , sexual orientation , gender identity expression , characteristic protect federal , state local law .","aws, management, design, communication","tech, business",job,Kaggle
488,Maintenance Mechanic,,,"menasha corporation employee , log - workday account apply position . ( exciting future ) menasha corporation possibility . business , menasha packaging orbis corporation , leader industry , provide corrugated plastic packaging product relate service major global company . employee difference , prove great idea , collaboration quality turn possibility success . work menasha corporation mean insight provide cutting - edge solution customer . like thing happen passionate , go want . join power possible . opportunity position responsibility maintain repair exist production equipment . essential job function follow duty normal position . incumbent perform duty ; exclusive - inclusive list . duty assign . ensure operation machinery mechanical equipment complete preventive maintenance requirement equipmenttroubleshoot issue mechanical devise , correct issue necessary maintain productivity / quality standardscontrol downtime communicate departmentsdetermine change dimensional requirement part , fabricate part need , adjust functional part device control instrumentsmaintain equipment , part supply inventory , conserve resource ableresponsible facility maintenanceprepare maintenance report , document communicate action , irregularity continue needswork safe efficient manner personal protective , safety equipment device require , comply company safety policy procedures.be actively involve continuous improvement education & experience education desire - high school diploma equivalent knowledge , skill & ability basic math , reading , communication skillsability read , comprehend , necessary , complete : blue print , electrical schematic , operating maintenance manual , work order , repair part request , standard metric tape measureother measure equipment : micrometer , caliper , scale , vom ( volt / ohm meter)advance knowledge machine operation mechanical functionsability disassemble , repair , troubleshoot plant machinesability overhaul , rebuild troubleshoot plant machinesability simple part equipment tool physical requirement & work environment primarily work production and/or warehouse settingwalking , stand , bend duration shiftfrequent lifting 30 lbs.2nd shift : monday - friday 2:30pm-11pm company , vision . menasha corporation consist company lead way sustainable future packaging supply chain solution . found 1849 headquarter neenah , wisconsin , employ 7,500 employee 112 facility north america europe . company lead corrugated plastic packaging manufacturer supply chain solution provider . menasha packaging company large independent provider packaging supply chain service solution north america , designing , printing , fulfil graphic packaging , display merchandising solution 1,800 brand , - store online . orbis business believe well way optimize today supply chain , reusable packaging product service . reusable container , pallet , dunnage , bulk system metal rack improve flow product supply chain reduce cost , enhance profitability add sustainability . product service global , - brand company food , beverage , health beauty , - - counter pharmaceutical , industrial , automotive , electronic industry . come build exciting , rewarding career , opportunity grow . possibility endless . power ! menasha corporation subsidiary affiliate equal opportunity employer . qualified applicant provide equal employment opportunity regard race , color , religion , sex , sexual orientation , gender identity , national origin , age , protect veteran status , disability status , genetic information .","design, communication",education,job,Kaggle
489,Maintenance Technician,,,"found 1923 , yarco company , - service , multi - family real estate firm deliver highly specialized property management service , focus primarily affordable housing . learn company visit www.yarco.com . yarco equal opportunity employer discriminate basis age , race , religion , color , sex , national origin , marital status , pregnancy , sexual orientation , physical mental disability . compliance immigration reform control act 1986 , hire u.s . citizen alien lawfully authorize work united states ( position subject u.s . law ) . position purpose : safety sensitive position assist work maintenance supervisor community manager perform necessary repair preventive maintenance entire property . position responsible maintenance residential apartment home , public space , outside ground equipment . community location pre - designated office hour position need accompany ensure community operation function effectively . key contribution : property appearance / upkeep : property neat , clean , - maintain condition . daily exterior interior inspection community assure . cross utilization groundkeeper duty require . appliance maintenance : trouble - shoot , diagnose correct minor failure air conditioning heating unit . repair minor electrical plumbing problem . ready : responsible bring unit market ready condition accordance company standard . painting require . laundry room : maintain laundry room guideline company . pool maintenance ( applicable ): completion daily chemical inspection , maintenance cleaning meet city code company standard . customer service : ensure property meet exceed company standard resident satisfaction available - emergency ( i.e. , snow removal ) community manager request . perform duty need . essential mental alertness requirement : work constant state alertness safe mannerability perform task involve high level cognitive function judgmentnot mentally physically impair cause adversely affect ability safely competently perform duty positionability prompt appropriate response operate conditionsability work unfatigued stateability accurately gauge length time distanceability quickly store recall instruction short - term memoryability concentrateability cope sudden change surround and/or emergency situation and/or alarmsdemonstrated caring , committed concerned attitude safety position requirement : education : high school diploma ge require . pool certification prefer ; prefer hvac certification , boiler certification appropriate . experience : year maintenance experience residential property experience . physical & cognitive : frequent standing walking , occasional sitting . ability lift , push , pull , carry 110 pound . occasional squatting , reach , stoop , climb stair / ladder , balance . job include include drive company business : driver valid driver license acceptable motor vehicle record company insurance carrierdriver reliable mean transportationdriver ability insurable standard rate driving.driver provide proof personal auto liability insurance vehicle company business hire , candidate require successfully complete background investigation , drug screen , physical demand analysis ; applicable . pandologic . keyword : apartment maintenance technician , location : kansas city , mo - 64126","management, design","tech, business, education",job,Kaggle
490,"Senior Corporate Accountant, Plano (90K-95K+Bonus)",,,"lhh look fill senior corporate accountant grow organization locate plano , tx . senior corporate accountant responsible monthly closing duty reconciliation , journal entry , analytical procedure . individual report directly accounting manager . position pay 90k-95k+bonus responsibility : coordinate execute month - end year - end closing activity , ensure timely accurate financial reporting.reconcile general ledger account , prepare review , need , journal entry , perform necessary adjustments.perform flux analysis , account reconciliation transactional research monthly ad - hoc basis.collaborate internal external auditor financial audit , ensure compliance provide necessary documentation.identify opportunity process optimization , automation , system enhancement streamline financial operation improve efficiency.actively participate system implementation upgrade relate financial system , provide subject matter expertise user support . requirement : bachelor degree accounting , finance , relate field.cpa certification highly preferred , required.5 + year progressive corporate accounting public accounting experience , preferably senior supervisory role.strong knowledge generally accept accounting principle ( gaap ) financial reporting standards.proficient financial analysis , budgeting , forecasting , financial modeling . interested job accounting finance career opportunity lhh recruitment solution email rami muhanna rami.muhanna@lhh.com visit website www.lhh.com",automation,finance,job,Kaggle
491,"Modeling, Simulation & Training AI Solution Architect",,,"description leido seek solution architect join orlando , fl team provide technical leadership deliver innovative solution , product , service support artificial intelligence ( ai ) enhance modeling simulation system / solution . position report modeling , simulation training ( ms&t ) portfolio manager orlando , fl . candidate current knowledge hand experience advanced technology include generative ai , large language model ( llm ) synthetic behavior model support simulation technology , innovative solution design modeling simulation industry view subject matter expert peer outside organization . primary responsibility lead development ms&t concept capability incorporate simulation solution offering applicable defense operational domain initial emphasis ai support behavior generation , training support / development , sensor feed integration , high - fidelity terrain integration , customer initiative achieve army , navy broad dod objective . key focus prioritize ms&t functionality develop internal customer fund research effort , consistent emerge dod ai initiative . long - term emphasis scale , distribute software - base simulation solution apply training operational scenarios.assist vision development define solution fuse leido ' partner ' c2 , ms&t , relate ( e.g. trust ai / ml ) capability advance leido ' ability anticipate deliver dod - wide mdo initiative practical operational solutions.represent decision advantage solution ( das ) enterprise - wide effort align role , ensure ms&t incorporate leido ' ai accelerator approach ms&t enable ai enhance ci / cd software development model complex operational systems.work secure cross - organization buy - solution current practice agreement / acceptance new concept , practice , approaches.work technical staff business development personnel understand customer need ; lead development solution impact strategic project / program goal business results.perform technical execution leadership development combination customer internally fund program research projects.align solution technical investment vision mds division decision advantage solution direction operation cto.work secure cross - organization buy - solution current practice agreement / acceptance new concept , practice , approach . basic qualification master science degree computer engineering similar degree 20 + year prior relevant experience.a broad understanding ms&t c2 technology , current emerge artificial intelligence methodology , focus application synthetic training relate mdo / jadc2 initiative , include classified system customer . recent leadership experience dod customer face organization(s ) role directly influence direction ai support synthetic training environment constructs.well publish authorship paper briefing demonstrate thought leadership , support collaborative effort customer interaction . extensive background research delivery ai - base , natural language processing intelligent agent computer generate force simulation & training project programs.strong communication skills.us citizenship require . applicant select subject government security investigation , possess secret clearance meet eligibility requirement ts / sci security clearance . prefer qualification phd computer engineering 20 year prior relevant experience.recent experience architecte ms&t solution , emphasis emerge artificial intelligence simulation training environment applicable mdo / jadc2 dod environments.recent experience software architecture , framework secdevop practice . recent experience orlando key customer / program highly preferred , e.g. service ms&t organizations.experience lead development artificial intelligence support training solution major capture proposal effort , balance solution cost , schedule , function , quality , business considerations.direct experience work relevant dod user acquisition organizations.experience support participation transition program capture / proposal execution.experience engage business development capture effort role solution architect . original posting date 2024 - 04 - 08 subject change base business need , leido reasonably anticipate job requisition remain open 3 day anticipated close date early 3 day original posting date list . pay range pay range $ 144,300.00 - $ 260,850.00 leido pay range job level general guideline guarantee compensation salary . additional factor consider extend offer include ( limit ) responsibility job , education , experience , knowledge , skill , ability , internal equity , alignment market datum , applicable bargaining agreement ( ) , law . # featuredjob","engineering, design, software, development, communication, leadership, technical","education, government, business, tech, engineering",job,Kaggle
492,C++ Quant Dev-Trading Firm-NY/Chi/TX/Miami-150-250K+Bonus,,,"c++ quantitative trading developer - nyc / chi / texas / miami - 150 - 250 k base plus bonusa trading firm location nyc , chicago , texas , florida ( potentially remote ) actively look hire c++ quantitative developer trading team . right candidate opportunity work directly pm / trader / quant develop system strategy produce . previous experience work similar trading environment ideal . c++ experience must.anticipated annual base salary range 150 - 250 k plus bonus.please send update resume follow . thank ! eoe statement : specialist staffing group equal opportunity employer . qualified applicant receive consideration employment regard race , color , religion , sex , sexual orientation , gender identity , national origin , disability , veteran status . find huxley , visit www.huxley.com",,,job,Kaggle
493,IT SharePoint Intern,,,"alixpartner , solve complex critical challenge move quickly analysis action matter ; create value lasting impact company , people , community serve . understanding , respect , honor need employee , client , community , alixpartner actively promote inclusive environment . strongly believe value diversity bring experience commit perpetual enhancement initiative , policy , practice . hold accountable provide space authenticity , growth , equity . alixpartner embrace hybrid work model provide flexibility support employee ' work - life integration . location : onsite southfield , mi support role alixpartner ’ corporate service team , work - house sharepoint smartsheet platform team , build support key application . look forward work real - world application learning / collaborative centric environment , troubleshoot solve problem , team opportunity learn late microsoft smartsheet technology develop web & code language , gain experience work multiple project time ( time / priority management ) . sharepoint smartsheet intern ( know internally intern ) short term / - time role locate southfield , michigan , report lead sharepoint architect manager . pay internship role 6 - month internship , approximately 20 – 24 hour week , flexibility accommodate university coursework . pay relocation benefit available position . learn run project ideation completion utilize common business artifact project charter timeline.learn train late sharepoint framework microsoft cloud technology – ex : microsoft 365 , azure , power tool stack ( powerapp , flow powerbi).learn train smartsheet platform.work closely admin administrative task support team.work closely developer programming task ( primarily microsoft stack).work web language html5 & css3.work code language javascript & js framework jquery.support team project migration task ( validate content & datum ) hand project qa testing.create technical documentation exist new application / integrations.additional responsibility identify . description design encompass comprehensive listing require activity , duty responsibility . need actively enrol recently complete related program.general knowledge\understande microsoft technology microsoft / office 365 , sharepoint , power tool power app , flow power bi.general knowledge\understande server ( c # ) client ( html , css , javascript ) code languages.exceptional customer service communication skill , include ability interact professionally diverse group customers.ability work independently time constraints.attention detail ability manage prioritize responsibility effectively , adapt change circumstance meet key deadline time constraint work complete accurate , timely manner.desire learn new skill improve provide high quality work.excellent write verbal communication skill english.ability work time office remote environment ; physically able sit / stand computer work computer screen significant portion workday.must familiar , promote abide , core value define alixpartner ’ code conduct foster inclusive environment people level organization.must currently authorize work united states . visa available position . alixpartner equal opportunity employer . qualified applicant receive consideration employment regard , thing , race , color , religion , sex , sexual orientation , gender identity , national origin , age , status protect veteran , disability . alixpartner proud silver award - win veteran friendly employer .","javascript, java, html, management, design, communication, technical","tech, business",job,Kaggle
494,AS400 RPG Developer with Synon experience,,,"day day job duty : � convert business requirement solution provide specialist technical expertise . � consult , review , analyze business information determine solution efficiently . � understand business problem opportunity context requirement recommend solution enable organization achieve goal . identify business process strength weakness suggest area improvement broad spectrum . basic qualification : � minimum 8 + year experience entire enterprise datum center stack hardware application layer major consulting firm system integrator � minimum 5 + year strong as400 & rpgle rpg programming / development experience � minimum 5 + year & knowledge as400 database skill � minimum 5 + year synon 2e � ability work independently travel : travel work location","development, technical",tech,job,Kaggle
495,Front Desk Agent,,,"driftwood hospitality management company culture empower associate initiative , proactive , contribute success property - define strategy objective . driftwood hospitality management renowned fully integrate approach hospitality service — outstanding client service . team good talent hospitality industry , employee , position , hotel . $ 500 sign bonus ! free meal , free parking - world - wide travel benefit ! job summary greet register guest , provide prompt courteous service , close guest account completion stay , ensure guest exceptional stay , meet hotel high standard quality . essential job function description summary primary responsibility qualification . job description intend include duty qualification require future . hotel operate 24 hour day 7 day week , operational demand require variation shift day , start time , hour work week . greet customer immediately friendly sincere welcome . use positive clear speak voice , listen understand request , respond appropriate action provide accurate information outlet hour local attraction . complete registration process inputte retrieve information computer system , confirm pertinent information include number guest room rate . appropriate selection room base guest need . code electronic key , certificate , coupon appropriate . require continual standing movement office area . verify imprint credit card authorization electronic acceptance method . handle cash ; change balance assign house bank . accept record voucher , traveler ’ check , form payment . perform accurate , moderately complex arithmetic function calculator . post charge guest room house account computer . promptly answer telephone positive clear english communication . input message computer . retrieve message communicate content guest . retrieve mail , small package facsimile customer request . close guest account time check ensure guest satisfaction . event dissatisfaction , research attempt resolve problem establish guideline , include turn problem supervisor . field guest complaint , conduct thorough research develop effective solution resolve complication location change credit issue . listen extend assistance order resolve problem price conflict , insufficient heating air conditioning , etc . remain calm alert especially emergency situation heavy hotel activity . plan implement detailed step experienced judgment discretion . keep corridor service area neat time . adhere company policy procedure . follow safety security procedure rule . know department fire prevention emergency procedure . utilize protective equipment . report unsafe condition supervisor / manager . report accident , injury , near - miss , property damage loss supervisor . provide safe work environment follow safety security procedure rule . team member maintain neat , clean - groom appearance . ( specific standard outline team member handbook ) . assist desk personnel need . perform related duty request supervisor / manager . knowledge , skill & ability hotel consider equivalent combination acceptable education experience provide knowledge , skill ability cite , applicable combination education experience equivalent graduation high school combination education , training experience provide require knowledge skill ability . high school diploma prefer . prior hospitality experience prefer , require . considerable skill use calculator prepare moderately complex mathematical calculation error . ability effectively deal internal external customer , require high level patience , tact diplomacy defuse anger , collect accurate information help resolve conflict . ability read , listen , communicate effectively english , verbally writing . ability access accurately input information moderately complex computer system . hearing visual ability observe detect sign emergency situation . physical demand ability stand office continuously perform essential job function . stand 95 % shift lifting 25 pound maximum . occasional twisting , bend , stoop , reach , standing , walk . frequent talking , hearing , see smile . benefit 401(k)dental insurancedisability insuranceemployee assistance programflexible spend accounthealth insurancelife insurancepaid time offvision insuranceroom discountsemployee food beverage discount eeo : driftwood hospitality management commit diverse inclusive workplace . equal opportunity employer . qualified applicant receive consideration employment regard race , color , religion , sex , sexual orientation , gender identity expression , national origin , age , disability , pregnancy , genetic information , protect veteran status , legally protect status . apply","management, communication","education, hospitality, legal, business",job,Kaggle
496,Learning Specialist - Facilitator,,,"7 - ? 13,000 store u.s . 84,000 store globally , wonder 7 - , inc . name iconic brand . addition 7 - store , 7 - , inc . operate franchise speedway , stripe , laredo taco company raise roost location . invent convenience industry 1927 , 7 - build rich 96 - year history fill beloved product like slurpee , big gulp big bite , fan - favorite holiday like slurpee day bring cup day . , 7 - mission contemporize brand redefine convenience – need help . lead ? guide leadership value principle value serve customer , store great good . principle define set behavior help drive 7 - team serve customer support store . customer obsess courageous point view challenge status quo act like entrepreneur "" "" attitude right thing accountable ▶ role ? look learn delivery facilitator passionate develop generation 7 - leader . learn delivery facilitator learn experience lead - class virtual delivery course / program coach . position interact impact 7 - team member level — individual contributor executive — new exist associate franchise business owner . learn delivery facilitator charge effectively manage classroom , handle logistic , ensure positive experience session . role , opportunity work collaboratively team independently conduct session . look self - drive excel help individual translate organizational strategy actionable behavior capability help drive result enterprise . role require effectively communicate influence senior leader franchise business owner . ideal candidate multifacete experience — develop deliver program — knack passion facilitation . unique exciting opportunity develop transformational leader - know international brand . learn delivery facilitator … create impactful experience elevate individual team performance connect leadership principle value developmental action balance sound theory practical knowledge deliver content manage time like pro , meeting target course goal flexible deliberate way modify approach meet need learner effortlessly read people adapt quickly unexpected occur engage motivate natural positive energy ask challenge think - provoke question humble inquisitive way receive gratification develop see meet personal goal embrace continuous improvement feedback refine enhance learning approach ▶ education : bachelors/4 yr degree experience : 5 - 7 year learning development / facilitation role , preferably retail / restaurant operation environment ( retail operation experience preferred ) excellent verbal write communication skill strong problem solving , decision making financial analysis skill team - collaboration growth mindset strong organizational skill ability multi - task previous experience facilitation , instructional design , and/or leadership development excellent computer / technology skill predisposition problem solve store support center","design, development, communication, leadership","tech, business, education, retail",job,Kaggle
497,Certified Medical Assistant II - General Oncology,,,"overview fre hutchinson cancer center independent , nonprofit organization provide adult cancer treatment groundbreake research focus cancer infectious disease . base seattle , fred hutch national cancer institute - designate cancer center washington . track record global leadership bone marrow transplantation , hiv / aids prevention , immunotherapy covid-19 vaccine , fred hutch earn reputation world lead cancer , infectious disease biomedical research center . fred hutch operate clinical care site provide medical oncology , infusion , radiation , proton therapy related service , network affiliation hospital state . , fully integrate research clinical care team seek discover new cure world deadly disease life cancer reality . fred hutch value collaboration , compassion , determination , excellence , innovation , integrity respect . value ground express principle diversity , equity inclusion . mission directly tie humanity , dignity inherent value employee , patient , community member supporter . commitment learn difference similarity strong . seek employee bring different innovative way see world solve problem . fred hutch pursuit anti - racist organization . commit ensure candidate hire share commitment diversity , anti - racism inclusion . certify medical assistant ii perform variety patient care , technical , administrative duty assist practitioner member health care team provide high quality patient care health care system . medical assistant participate team member overall functioning clinic . medical assistant responsible flow patient assign provider ( applicable ) day . perform duty procedure describe primary responsibility section . general oncology unit general oncology nursing medical assistant team provide expert , specialized care patient receive assessment treatment wide range specialty area , include woman health , sarcoma , gi , thn , gu , ent , renal melanoma , skin , endocrine , surgical phase 1 clinic . work collaboratively , team member unit care medical surgical oncology patient , coordinate care support patient ’ family . responsibility essential function ma position ; disease group ma . provide support specific team area : leave paperwork / prior authorization / prescription refillsanswere / screen incoming phone callscoordinating outside lab result notify pt . norm lab resultsact preceptor/ trainerassist nurse triagepreform blood draw directedreinforce compliance billing / codingfacilitate distribution clinical contact , schedule care management tools.monitor assist clinic flow , adjust need ensure efficient pt . flow.request medical record external / internal facilitate prepare provider review.collaborate clinic nursing supervisor develop operational strategy process improvement department / unit . customer service act liaison patient / family health care providers.assist resolve and/or respond non - clinical relate patient complaint inquiry qualification require : 2 + year relevant work experiencecompletion medical assistant program offer school accredit accredit bureau health education school ( abhe ) program accredit commission accreditation ally health education program ( caahep ) ; ormilitary training experience satisfy training experience requirement certify medical assistant state washington familiar state conduct standard practice.surgical technologist registration state washington state familiar state conduct standard practice ( application submit 1st 30 - day hire)current bls aha health provider card ( equivalent course , american red cross ) renewal require yearswillingness participate process improvement initiativesproficient email word processing systemsexperience electronic medical recordsstrong interpersonal customer service skillsability work fast pace , complex healthcare environmentability multitask , prioritize problem solveability communicate ( verbally writing ) clear concise mannerability follow direction guidanceability recognize limitation seek helpability identify learn need plan learn opportunitiesability appropriately respond emergency disaster clinic protocol scope practice statement describe commitment contribution great diversity , equity , inclusion , antiracism career work fred hutch request finalist . hourly pay range position $ 26.99 $ 38.43 pay offer base experience qualification . position eligible sign - bonus , $ 3,000 . fre hutchinson cancer center offer employee comprehensive benefit package design enhance health , - , financial security . benefit include medical / vision , dental , flexible spending account , life , disability , retirement , family life support , employee assistance program , onsite health clinic , tuition reimbursement , pay vacation ( 12 - 22 day year ) , pay sick leave ( 12 - 25 day year ) , pay holiday ( 13 day year ) , pay parental leave ( 4 week ) , partially pay sabbatical leave ( 6 month ) . commitment diversity proud equal employment opportunity ( eeo ) vietnam era veteran readjustment assistance act ( vevraa ) employer . commit cultivate workplace diverse perspective experience welcome respect . discriminate basis race , color , religion , creed , ancestry , national origin , sex , age , disability ( physical mental ) , marital veteran status , genetic information , sexual orientation , gender identity , political ideology , membership legally protect class . affirmative action employer . encourage individual diverse background apply desire priority referral protect veteran . disability need assistance / reasonable accommodation application recruiting process , send request human resource hrops@fredhutch.org call 206 - 667 - 4700 .","aws, management, design, leadership, technical","education, healthcare, business, tech, legal",job,Kaggle
